Qty,Value,Package,Parts
13,0.1uF,805,"C1, C20, C23, C24, C40, C66, C89, C97, C98, C100, C101, C108, C109"
10,0.1uF 35V,805,"C6, C27, C44, C47, C51, C71, C102, C103, C104, C105"
5,0.33uF 50V,805,"C8, C29, C49, C54, C73"
5,10uF,805,"C19, C85, C90, C96, C99"
4,10uF 16V,805,"C83, C84, C91, C106"
25,10uF 35V,805,"C9, C10, C11, C13, C14, C15, C30, C31, C32, C34, C35, C36, C55, C56, C57, C60, C61, C62, C74, C75, C76, C78, C79, C80, C87"
11,10uF 35V 1206,1206,"C3, C4, C21, C22, C42, C43, C45, C68, C69, C81, C82"
1,1uF,805,C112
16,1uF 35V,805,"C2, C5, C7, C18, C25, C26, C28, C39, C41, C46, C48, C50, C52, C67, C70, C72"
1,33pF,805,C63
6,4.7uF,805,"C92, C93, C94, C95, C107, C111"
2,43pF,805,"C65, C88"
5,4700pF,805,"C16, C37, C58, C64, C86"
2,56pF,805,"C17, C38"
2,620pF 25V,805,"C12, C33"
3,680pF,805,"C53, C59, C77"
1,UCL1V221MCL6GS,NICHICON_10MM,C110
4,1SMB17AT3G,DO-214AA,"D1, D4, D8, D12"
2,ESDA8V2-1J,SOD-323,"D10, D11"
1,1SMA24AT3G,DO-214AC,D2
7,SBR10E45P5-13,POWERDI-5,"D3, D5, D6, D7, D13, D14, D16"
1,1SMB8.5AT3G,DO-214AA,D9
1,C1F 6,1206,F1
4,C1F 4,1206,"F2, F3, F4, F5"
1,C1F 3,1206,F6
1,68021-410HLF,CON_100MIL_2X5,J2
2,SRR1280-180M,BOURNS_SRR1280,"L1, L3"
1,MLZ2012M100WT000,805,L2
1,SRN1060-330M,BOURNS_SRN1060,L4
2,SRN1060-180M,BOURNS_SRN1060,"L5, L6"
6,DMP3017SFG-7,POWERVDFN-8,"Q1, Q4, Q6, Q9, Q11, Q14"
6,2N7002P,SOT-23-3,"Q2, Q5, Q8, Q10, Q12, Q15"
5,AON6980,DFN5X6B_8L_EP2_ALPHA&OMEGA,"Q3, Q7, Q13, Q16, Q17"
5,2.2,805,"R5, R21, R46, R47, R62"
2,30,805,"R13, R34"
4,49.9,805,"R22, R25, R78, R81"
1,100,805,R19
1,300,805,R68
1,1.43k,805,R51
2,1.62k,805,"R50, R64"
2,1.82k 1%,805,"R12, R33"
4,10.5k,805,"R11, R32, R56, R69"
11,100k,805,"R2, R7, R10, R15, R23, R30, R31, R35, R39, R59, R80"
16,10k,805,"R3, R6, R16, R17, R18, R24, R29, R40, R41, R43, R45, R53, R60, R63, R66, R71"
2,10k 1%,805,"R72, R73"
5,10mR,805,"R4, R26, R44, R61, R79"
6,14.7k,805,"R1, R14, R20, R38, R42, R58"
4,15k 1%,805,"R36, R54, R74, R76"
2,2k,805,"R8, R27"
1,3.9k 1%,805,R49
5,49.9k 1%,805,"R9, R28, R48, R52, R65"
4,4.99k 1%,805,"R37, R67, R75, R77"
2,6.81k 1%,805,"R57, R70"
1,7.5k,805,R55
5,CS30CL,SOT-23-5,"U1, U4, U6, U9, U15"
1,MC78M12CDTG,TO-252-3,U11
3,MCP6L01UT-E/OT,SOT-23-5,"U12, U13, U16"
1,MC78M05CDTG,TO-252-3,U14
5,MCP19035-AAABE/MF,VFDFN-10_EP,"U2, U5, U7, U8, U10"
1,PIC16F1773-I/SS,SSOP-28,U3
